frame_number,start_time,processing_duration,face_detected
0,2023-03-08-08-10-23,0.0279813,1
1,2023-03-08-08-10-23,0.0234051,1
2,2023-03-08-08-10-23,0.0236535,1
3,2023-03-08-08-10-23,0.0255478,1
4,2023-03-08-08-10-23,0.0253997,1
5,2023-03-08-08-10-23,0.0237026,1
6,2023-03-08-08-10-23,0.0253531,1
7,2023-03-08-08-10-23,0.0217823,1
8,2023-03-08-08-10-23,0.0202897,1
9,2023-03-08-08-10-23,0.019502,1
10,2023-03-08-08-10-23,0.0215936,1
11,2023-03-08-08-10-24,0.0193843,1
12,2023-03-08-08-10-24,0.0190773,1
13,2023-03-08-08-10-24,0.0165314,1
14,2023-03-08-08-10-24,0.0158768,1
15,2023-03-08-08-10-24,0.0164194,1
16,2023-03-08-08-10-24,0.0167239,1
17,2023-03-08-08-10-24,0.0150128,1
18,2023-03-08-08-10-24,0.0148301,1
19,2023-03-08-08-10-24,0.0177043,1
20,2023-03-08-08-10-24,0.0142781,1
21,2023-03-08-08-10-24,0.0141163,1
22,2023-03-08-08-10-24,0.0159997,1
23,2023-03-08-08-10-24,0.0199433,1
24,2023-03-08-08-10-24,0.0176428,1
25,2023-03-08-08-10-24,0.0174255,1
26,2023-03-08-08-10-24,0.0153316,1
27,2023-03-08-08-10-24,0.0143462,1
28,2023-03-08-08-10-24,0.0140786,1
29,2023-03-08-08-10-24,0.0150414,1
30,2023-03-08-08-10-24,0.0145755,1
31,2023-03-08-08-10-24,0.0142877,1
32,2023-03-08-08-10-24,0.0138463,1
33,2023-03-08-08-10-24,0.0139918,1
34,2023-03-08-08-10-24,0.013677,1
35,2023-03-08-08-10-24,0.0161057,1
36,2023-03-08-08-10-24,0.0137892,1
37,2023-03-08-08-10-24,0.0140612,1
38,2023-03-08-08-10-24,0.0139186,1
39,2023-03-08-08-10-24,0.0143237,1
40,2023-03-08-08-10-24,0.0166477,1
41,2023-03-08-08-10-25,0.0179948,1
42,2023-03-08-08-10-25,0.0180335,1
43,2023-03-08-08-10-25,0.0149228,1
44,2023-03-08-08-10-25,0.0142017,1
45,2023-03-08-08-10-25,0.01455,1
46,2023-03-08-08-10-25,0.0146187,1
47,2023-03-08-08-10-25,0.014813,1
48,2023-03-08-08-10-25,0.0137712,1
49,2023-03-08-08-10-25,0.0135102,1
50,2023-03-08-08-10-25,0.0134572,1
51,2023-03-08-08-10-25,0.0134875,1
52,2023-03-08-08-10-25,0.0135279,1
53,2023-03-08-08-10-25,0.0162005,1
54,2023-03-08-08-10-25,0.0132863,1
55,2023-03-08-08-10-25,0.0133917,1
56,2023-03-08-08-10-25,0.0133101,1
57,2023-03-08-08-10-25,0.0134443,1
58,2023-03-08-08-10-25,0.0192104,1
59,2023-03-08-08-10-25,0.018872,1
60,2023-03-08-08-10-25,0.017915,1
61,2023-03-08-08-10-25,0.0157346,1
62,2023-03-08-08-10-25,0.0145416,1
63,2023-03-08-08-10-25,0.0142245,1
64,2023-03-08-08-10-25,0.014062,1
65,2023-03-08-08-10-25,0.0159633,1
66,2023-03-08-08-10-25,0.0182326,1
67,2023-03-08-08-10-25,0.0139316,1
68,2023-03-08-08-10-25,0.0154489,1
69,2023-03-08-08-10-25,0.0143273,1
70,2023-03-08-08-10-25,0.0136826,1
71,2023-03-08-08-10-26,0.0137487,1
72,2023-03-08-08-10-26,0.0160395,1
73,2023-03-08-08-10-26,0.0140622,1
74,2023-03-08-08-10-26,0.0186603,1
148,2023-03-08-08-10-28,0.0160163,1
149,2023-03-08-08-10-28,0.0134893,1
150,2023-03-08-08-10-28,0.0131537,1
151,2023-03-08-08-10-28,0.0129523,1
152,2023-03-08-08-10-28,0.0135336,1
153,2023-03-08-08-10-28,0.0122253,1
154,2023-03-08-08-10-28,0.0156363,1
155,2023-03-08-08-10-28,0.0145051,1
156,2023-03-08-08-10-28,0.0131143,1
157,2023-03-08-08-10-28,0.011969,1
158,2023-03-08-08-10-28,0.0167302,1
159,2023-03-08-08-10-28,0.0128008,1
160,2023-03-08-08-10-29,0.0136289,1
161,2023-03-08-08-10-29,0.0157093,1
162,2023-03-08-08-10-29,0.0128084,1
163,2023-03-08-08-10-29,0.0130111,1
164,2023-03-08-08-10-29,0.0145197,1
165,2023-03-08-08-10-29,0.0137101,1
166,2023-03-08-08-10-29,0.0132882,1
167,2023-03-08-08-10-29,0.0132347,1
168,2023-03-08-08-10-29,0.013427,1
169,2023-03-08-08-10-29,0.0135358,1
170,2023-03-08-08-10-29,0.0126427,1
171,2023-03-08-08-10-29,0.0178612,1
172,2023-03-08-08-10-29,0.017781,1
173,2023-03-08-08-10-29,0.0129877,1
174,2023-03-08-08-10-29,0.01321,1
175,2023-03-08-08-10-29,0.0175611,1
176,2023-03-08-08-10-29,0.0132963,1
177,2023-03-08-08-10-29,0.016776,1
178,2023-03-08-08-10-29,0.0133595,1
179,2023-03-08-08-10-29,0.014297,1
180,2023-03-08-08-10-29,0.0130534,1
181,2023-03-08-08-10-29,0.0131915,1
182,2023-03-08-08-10-29,0.0126908,1
183,2023-03-08-08-10-29,0.0147918,1
184,2023-03-08-08-10-29,0.01375,1
185,2023-03-08-08-10-29,0.0125728,1
186,2023-03-08-08-10-29,0.0131825,1
187,2023-03-08-08-10-29,0.0131815,1
188,2023-03-08-08-10-29,0.0127721,1
189,2023-03-08-08-10-29,0.0124233,1
190,2023-03-08-08-10-30,0.0146415,1
191,2023-03-08-08-10-30,0.0145865,1
192,2023-03-08-08-10-30,0.0129999,1
193,2023-03-08-08-10-30,0.0137281,1
194,2023-03-08-08-10-30,0.0143708,1
195,2023-03-08-08-10-30,0.0134834,1
196,2023-03-08-08-10-30,0.0141057,1
197,2023-03-08-08-10-30,0.0126185,1
198,2023-03-08-08-10-30,0.0137358,1
199,2023-03-08-08-10-30,0.0143579,1
200,2023-03-08-08-10-30,0.0178242,1
201,2023-03-08-08-10-30,0.0172339,1
202,2023-03-08-08-10-30,0.0143469,1
203,2023-03-08-08-10-30,0.0130307,1
204,2023-03-08-08-10-30,0.0130071,1
205,2023-03-08-08-10-30,0.0130477,1
206,2023-03-08-08-10-30,0.0130519,1
207,2023-03-08-08-10-30,0.0137587,1
208,2023-03-08-08-10-30,0.0135935,1
209,2023-03-08-08-10-30,0.0143377,1
210,2023-03-08-08-10-30,0.0133802,1
211,2023-03-08-08-10-30,0.0132715,1
212,2023-03-08-08-10-30,0.0126821,1
213,2023-03-08-08-10-30,0.0134799,1
214,2023-03-08-08-10-30,0.013242,1
215,2023-03-08-08-10-30,0.0135877,1
216,2023-03-08-08-10-30,0.0129234,1
217,2023-03-08-08-10-30,0.0133792,1
218,2023-03-08-08-10-30,0.0133101,1
219,2023-03-08-08-10-30,0.0126862,1
220,2023-03-08-08-10-31,0.0174666,1
221,2023-03-08-08-10-31,0.0131615,1
222,2023-03-08-08-10-31,0.0131904,1
298,2023-03-08-08-10-33,0.0151111,1
299,2023-03-08-08-10-33,0.0135611,1
300,2023-03-08-08-10-33,0.0116461,1
301,2023-03-08-08-10-33,0.0123515,1
302,2023-03-08-08-10-33,0.0107725,1
303,2023-03-08-08-10-33,0.0109206,1
304,2023-03-08-08-10-33,0.0129132,1
305,2023-03-08-08-10-33,0.0118034,1
306,2023-03-08-08-10-33,0.0140596,1
307,2023-03-08-08-10-33,0.0143285,1
308,2023-03-08-08-10-33,0.0109634,1
309,2023-03-08-08-10-33,0.0118101,1
310,2023-03-08-08-10-34,0.0127249,1
311,2023-03-08-08-10-34,0.0120313,1
312,2023-03-08-08-10-34,0.0127168,1
313,2023-03-08-08-10-34,0.0132417,1
314,2023-03-08-08-10-34,0.0114794,1
315,2023-03-08-08-10-34,0.0111631,1
316,2023-03-08-08-10-34,0.0116385,1
317,2023-03-08-08-10-34,0.0118358,1
318,2023-03-08-08-10-34,0.0141599,1
319,2023-03-08-08-10-34,0.0125746,1
320,2023-03-08-08-10-34,0.0112184,1
321,2023-03-08-08-10-34,0.0113584,1
322,2023-03-08-08-10-34,0.0113707,1
323,2023-03-08-08-10-34,0.0119728,1
324,2023-03-08-08-10-34,0.0134095,1
325,2023-03-08-08-10-34,0.0115322,1
326,2023-03-08-08-10-34,0.0122983,1
327,2023-03-08-08-10-34,0.0107828,1
328,2023-03-08-08-10-34,0.0117246,1
329,2023-03-08-08-10-34,0.0114291,1
330,2023-03-08-08-10-34,0.0119635,1
331,2023-03-08-08-10-34,0.0114388,1
332,2023-03-08-08-10-34,0.0111926,1
333,2023-03-08-08-10-34,0.0112626,1
334,2023-03-08-08-10-34,0.0115288,1
335,2023-03-08-08-10-34,0.0117425,1
336,2023-03-08-08-10-34,0.0145433,1
337,2023-03-08-08-10-34,0.0120945,1
338,2023-03-08-08-10-34,0.011303,1
339,2023-03-08-08-10-35,0.0112293,1
340,2023-03-08-08-10-35,0.0120831,1
341,2023-03-08-08-10-35,0.0118236,1
342,2023-03-08-08-10-35,0.0115587,1
343,2023-03-08-08-10-35,0.0110262,1
344,2023-03-08-08-10-35,0.011713,1
345,2023-03-08-08-10-35,0.0111754,1
346,2023-03-08-08-10-35,0.0112799,1
347,2023-03-08-08-10-35,0.0119312,1
348,2023-03-08-08-10-35,0.0135173,1
349,2023-03-08-08-10-35,0.0120178,1
350,2023-03-08-08-10-35,0.0136564,1
351,2023-03-08-08-10-35,0.0151121,1
352,2023-03-08-08-10-35,0.0113661,1
353,2023-03-08-08-10-35,0.0116426,1
354,2023-03-08-08-10-35,0.011238,1
355,2023-03-08-08-10-35,0.012118,1
356,2023-03-08-08-10-35,0.0114508,1
357,2023-03-08-08-10-35,0.0123196,1
358,2023-03-08-08-10-35,0.0107924,1
359,2023-03-08-08-10-35,0.0110741,1
360,2023-03-08-08-10-35,0.0134362,1
361,2023-03-08-08-10-35,0.011258,1
362,2023-03-08-08-10-35,0.0109915,1
363,2023-03-08-08-10-35,0.0124357,1
364,2023-03-08-08-10-35,0.0113907,1
365,2023-03-08-08-10-35,0.0135678,1
366,2023-03-08-08-10-35,0.0116549,1
367,2023-03-08-08-10-35,0.0115778,1
368,2023-03-08-08-10-35,0.0123503,1
369,2023-03-08-08-10-36,0.0141232,1
370,2023-03-08-08-10-36,0.0116232,1
371,2023-03-08-08-10-36,0.012148,1
372,2023-03-08-08-10-36,0.0167453,1
447,2023-03-08-08-10-38,0.0130003,1
448,2023-03-08-08-10-38,0.0116912,1
449,2023-03-08-08-10-38,0.0113884,1
450,2023-03-08-08-10-38,0.0121757,1
451,2023-03-08-08-10-38,0.0144008,1
452,2023-03-08-08-10-38,0.0111008,1
453,2023-03-08-08-10-38,0.0115603,1
454,2023-03-08-08-10-38,0.0115718,1
455,2023-03-08-08-10-38,0.01156,1
456,2023-03-08-08-10-38,0.0147491,1
457,2023-03-08-08-10-38,0.0130691,1
458,2023-03-08-08-10-38,0.0114467,1
459,2023-03-08-08-10-39,0.0123094,1
460,2023-03-08-08-10-39,0.0116032,1
461,2023-03-08-08-10-39,0.0115296,1
462,2023-03-08-08-10-39,0.0111597,1
463,2023-03-08-08-10-39,0.0113762,1
464,2023-03-08-08-10-39,0.0122393,1
465,2023-03-08-08-10-39,0.0110698,1
466,2023-03-08-08-10-39,0.0110875,1
467,2023-03-08-08-10-39,0.0109804,1
468,2023-03-08-08-10-39,0.0137094,1
469,2023-03-08-08-10-39,0.011087,1
470,2023-03-08-08-10-39,0.0119734,1
471,2023-03-08-08-10-39,0.012099,1
472,2023-03-08-08-10-39,0.0123443,1
473,2023-03-08-08-10-39,0.0114335,1
474,2023-03-08-08-10-39,0.0122988,1
475,2023-03-08-08-10-39,0.0120274,1
476,2023-03-08-08-10-39,0.0120557,1
477,2023-03-08-08-10-39,0.0108998,1
478,2023-03-08-08-10-39,0.0128369,1
479,2023-03-08-08-10-39,0.0128445,1
480,2023-03-08-08-10-39,0.0112139,1
481,2023-03-08-08-10-39,0.0121942,1
482,2023-03-08-08-10-39,0.0112145,1
483,2023-03-08-08-10-39,0.0112488,1
484,2023-03-08-08-10-39,0.0121187,1
485,2023-03-08-08-10-39,0.0110527,1
486,2023-03-08-08-10-39,0.0110185,1
487,2023-03-08-08-10-39,0.0109851,1
488,2023-03-08-08-10-39,0.0110273,1
489,2023-03-08-08-10-40,0.0123735,1
490,2023-03-08-08-10-40,0.0118591,1
491,2023-03-08-08-10-40,0.0141845,1
492,2023-03-08-08-10-40,0.0110221,1
